Total execution time: 54.76 minutes 

Generations: 20

Gen Max  Mean  Std  Med
0  -5.193 -5.561 0.27 -5.746 

Gen Max  Mean  Std  Med
1  21.818 -4.341 4.832 -5.749 

Gen Max  Mean  Std  Med
2  21.944 -2.807 6.653 -5.348 

Gen Max  Mean  Std  Med
3  21.944 -1.419 7.77 -5.276 

Gen Max  Mean  Std  Med
4  22.023 0.73 8.003 -1.032 

Gen Max  Mean  Std  Med
5  22.023 1.21 8.29 -0.824 

Gen Max  Mean  Std  Med
6  22.087 3.074 9.356 3.222 

Gen Max  Mean  Std  Med
7  22.14 2.458 9.913 -5.198 

Gen Max  Mean  Std  Med
8  22.14 3.238 9.396 3.602 

Gen Max  Mean  Std  Med
9  48.189 7.181 13.237 3.791 

Gen Max  Mean  Std  Med
10  48.189 8.37 14.106 3.963 

Gen Max  Mean  Std  Med
11  48.189 9.704 13.668 3.994 

Gen Max  Mean  Std  Med
12  48.189 10.325 14.554 8.124 

Gen Max  Mean  Std  Med
13  57.168 10.287 16.27 3.813 

Gen Max  Mean  Std  Med
14  57.168 12.784 16.601 12.748 

Gen Max  Mean  Std  Med
15  57.168 15.515 17.141 12.54 

Gen Max  Mean  Std  Med
16  57.168 14.479 17.283 12.78 

Gen Max  Mean  Std  Med
17  57.168 12.0 17.616 12.051 

Gen Max  Mean  Std  Med
18  57.168 14.328 17.033 12.303 

Gen Max  Mean  Std  Med
19  57.168 14.515 18.679 12.281 
